alert_id,timestamp,rule_id,risk_type,user,ip,resource,action,evidence,risk_score,severity,event_ids,base_score,context_bonus,context_signals,context_evidence
alert-c25f3b77e421,2026-06-22T11:00:00+07:00,CTX-RARE-RESOURCE,context_anomaly,auditor01,10.0.0.2,accounts,read,rare_resource_for_user=true; user=auditor01; resource=accounts,47,Medium,risk-011,25,8,CTX-RARE-RESOURCE,rare_resource_for_user=true; user=auditor01; resource=accounts
alert-eaf59d8db58d,2026-06-22T11:10:00+07:00,RBAC-UNAUTHORIZED,unauthorized_access,auditor01,10.0.0.2,accounts,update,permission=accounts:update; rbac_granted=false; log_status=denied,84,High,risk-012,50,0,,
alert-95181f748522,2026-06-22T11:11:00+07:00,RBAC-UNAUTHORIZED,unauthorized_access,auditor01,10.0.0.2,accounts,update,permission=accounts:update; rbac_granted=false; log_status=denied,84,High,risk-013,50,0,,
alert-f4e49394873f,2026-06-22T11:12:00+07:00,RBAC-UNAUTHORIZED,unauthorized_access,auditor01,10.0.0.2,accounts,update,permission=accounts:update; rbac_granted=false; log_status=denied,84,High,risk-014,50,0,,
alert-14a80291ae49,2026-06-22T11:12:00+07:00,CTX-REPEATED-DENIAL,context_anomaly,auditor01,10.0.0.2,accounts,update,denials_in_window=3; window_seconds=300,54,Medium,risk-012|risk-013|risk-014,25,12,CTX-REPEATED-DENIAL,denials_in_window=3; window_seconds=300
alert-24a043e74df3,2026-06-22T22:00:00+07:00,CTX-AFTER-HOURS,context_anomaly,teller01,198.51.100.50,session,login,after_hours=true; hour=22; business_hours=08:00-18:00,48,Medium,risk-005,25,8,CTX-AFTER-HOURS,after_hours=true; hour=22; business_hours=08:00-18:00
alert-703e9ade670f,2026-06-22T22:00:00+07:00,CTX-NEW-IP,context_anomaly,teller01,198.51.100.50,session,login,new_ip_for_user=true; user=teller01; ip=198.51.100.50,51,Medium,risk-005,25,10,CTX-NEW-IP,new_ip_for_user=true; user=teller01; ip=198.51.100.50
alert-65c7edc9255f,2026-06-22T22:01:00+07:00,CTX-AFTER-HOURS,context_anomaly,teller01,198.51.100.50,session,login,after_hours=true; hour=22; business_hours=08:00-18:00,48,Medium,risk-006,25,8,CTX-AFTER-HOURS,after_hours=true; hour=22; business_hours=08:00-18:00
alert-7ba3a03e7dc1,2026-06-22T22:02:00+07:00,CTX-AFTER-HOURS,context_anomaly,teller01,198.51.100.50,session,login,after_hours=true; hour=22; business_hours=08:00-18:00,48,Medium,risk-007,25,8,CTX-AFTER-HOURS,after_hours=true; hour=22; business_hours=08:00-18:00
alert-31f60fe34dfc,2026-06-22T22:03:00+07:00,CTX-AFTER-HOURS,context_anomaly,teller01,198.51.100.50,session,login,after_hours=true; hour=22; business_hours=08:00-18:00,48,Medium,risk-008,25,8,CTX-AFTER-HOURS,after_hours=true; hour=22; business_hours=08:00-18:00
alert-f48d20e60293,2026-06-22T22:04:00+07:00,AUTH-PASSWORD-GUESSING,password_guessing,teller01,198.51.100.50,session,login,count=5; first=2026-06-22T22:00:00+07:00; last=2026-06-22T22:04:00+07:00; user=teller01; ip=198.51.100.50,68,High,risk-005|risk-006|risk-007|risk-008|risk-009,40,0,,
alert-f3d29f802c40,2026-06-22T22:04:00+07:00,CTX-AFTER-HOURS,context_anomaly,teller01,198.51.100.50,session,login,after_hours=true; hour=22; business_hours=08:00-18:00,48,Medium,risk-009,25,8,CTX-AFTER-HOURS,after_hours=true; hour=22; business_hours=08:00-18:00
alert-b400bee63981,2026-06-22T22:05:00+07:00,RBAC-UNAUTHORIZED,unauthorized_access,teller01,198.51.100.50,users,delete,permission=users:delete; rbac_granted=false; log_status=denied,84,High,risk-010,50,0,,
alert-989f1262df82,2026-06-22T22:05:00+07:00,CTX-AFTER-HOURS,context_anomaly,teller01,198.51.100.50,users,delete,after_hours=true; hour=22; business_hours=08:00-18:00,48,Medium,risk-010,25,8,CTX-AFTER-HOURS,after_hours=true; hour=22; business_hours=08:00-18:00
alert-9593b962c096,2026-06-22T22:05:00+07:00,CTX-RARE-RESOURCE,context_anomaly,teller01,198.51.100.50,users,delete,rare_resource_for_user=true; user=teller01; resource=users,47,Medium,risk-010,25,8,CTX-RARE-RESOURCE,rare_resource_for_user=true; user=teller01; resource=users
